"stars","name","available","bedType","currency","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","features/30","features/31","features/32","features/33","features/34","features/35","features/36","features/37","features/38","features/39","features/40","features/41","features/42","features/43","features/45","features/46","persons","price","roomType","features/44","features/47","features/48","features/49","features/50","features/51","features/52","features/53","features/55","features/54","features/56"
"5","Ohla Barcelona","true","1 large double bed","US$","Room","291 feet²","City view","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free WiFi","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Desk","Pants press","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Heating","Hairdryer","Towels/sheets (extra fee)","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Alarm clock","Laptop safe","Tumble dryer","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Drying rack for clothing",,,"2","460","Deluxe Double Room (1-2 adults)","Toilet paper",,,,,,,,,,
"5","Ohla Barcelona","true","1 large double bed","US$","Private suite","377 feet²","City view","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free WiFi","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Desk","Seating Area","Pants press","Private entrance","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Extra long beds (> 2 metres)","Dressing room","Towels/sheets (extra fee)","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Alarm clock","Tumble dryer","Wardrobe or closet","2","571","Junior Suite","Laptop safe","Upper floors accessible by elevator","Clothes rack","Drying rack for clothing","Toilet paper","More",,,,,
"5","Ohla Barcelona","true","1 double bed","US$","Private suite","431 feet²","City view","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free WiFi","Hot tub","Free toiletries","Bathrobe","Safety deposit box","Toilet","Sofa","Bath or shower","Hardwood or parquet floors","Towels","Linen","Socket near the bed","Desk","Seating Area","Pants press","Private entrance","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Heating","Hairdryer","Dressing room","Towels/sheets (extra fee)","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Alarm clock","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","2","602","Deluxe Junior Suite","Tumble dryer","Clothes rack","Drying rack for clothing","Toilet paper","More",,,,,,
"5","Kimpton Vividora Hotel, an IHG Hotel","true","Choose your bed (if available) 1 extra-large double bed 1 large double bed","US$","Room","172 feet²","Inner courtyard view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free WiFi","Free toiletries","Shower","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Hardwood or parquet floors","Towels","Linen","Cleaning products","Hypoallergenic","Desk","Blu-ray player","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Heating","Hairdryer","Towels/sheets (extra fee)","Wake up service/Alarm clock","Electric kettle","Wake-up service","Alarm clock","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Hand sanitiser","Single-room air conditioning for guest accommodation","2","305","Essential Room","Baby safety gates",,,,,,,,,,
"5","Kimpton Vividora Hotel, an IHG Hotel","true","Choose your bed (if available) 1 extra-large double bed 1 large double bed","US$","Room","172 feet²","Inner courtyard view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free WiFi","Free toiletries","Shower","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Hardwood or parquet floors","Towels","Linen","Cleaning products","Hypoallergenic","Desk","Blu-ray player","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Heating","Hairdryer","Towels/sheets (extra fee)","Wake up service/Alarm clock","Electric kettle","Wake-up service","Alarm clock","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Hand sanitiser","Single-room air conditioning for guest accommodation","2","359","Essential Room","Baby safety gates",,,,,,,,,,
"5","Kimpton Vividora Hotel, an IHG Hotel","true","Choose your bed (if available) 1 extra-large double bed 1 large double bed","US$","Room","172 feet²","Inner courtyard view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free WiFi","Free toiletries","Shower","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Hardwood or parquet floors","Towels","Linen","Cleaning products","Hypoallergenic","Desk","Blu-ray player","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Heating","Hairdryer","Towels/sheets (extra fee)","Wake up service/Alarm clock","Electric kettle","Wake-up service","Alarm clock","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Hand sanitiser","Single-room air conditioning for guest accommodation","2","371","Essential Room","Baby safety gates",,,,,,,,,,
"5","Kimpton Vividora Hotel, an IHG Hotel","true","Choose your bed (if available) 1 extra-large double bed 1 large double bed","US$","Room","172 feet²","Inner courtyard view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free WiFi","Free toiletries","Shower","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Hardwood or parquet floors","Towels","Linen","Cleaning products","Hypoallergenic","Desk","Blu-ray player","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Heating","Hairdryer","Towels/sheets (extra fee)","Wake up service/Alarm clock","Electric kettle","Wake-up service","Alarm clock","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Hand sanitiser","Single-room air conditioning for guest accommodation","2","394","Essential Room","Baby safety gates",,,,,,,,,,
"5","Kimpton Vividora Hotel, an IHG Hotel","true","Choose your bed (if available) 1 extra-large double bed 1 large double bed","US$","Room","172 feet²","Inner courtyard view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free WiFi","Free toiletries","Shower","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Hardwood or parquet floors","Towels","Linen","Cleaning products","Hypoallergenic","Desk","Blu-ray player","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Heating","Hairdryer","Towels/sheets (extra fee)","Wake up service/Alarm clock","Electric kettle","Wake-up service","Alarm clock","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Hand sanitiser","Single-room air conditioning for guest accommodation","2","425","Essential Room","Baby safety gates",,,,,,,,,,
"5","Kimpton Vividora Hotel, an IHG Hotel","true","1 extra-large double bed","US$","Room","215 feet²","Inner courtyard view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free WiFi","Free toiletries","Shower","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Hardwood or parquet floors","Towels","Linen","Cleaning products","Hypoallergenic","Desk","Blu-ray player","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Heating","Hairdryer","Towels/sheets (extra fee)","Wake up service/Alarm clock","Electric kettle","Wake-up service","Alarm clock","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Hand sanitiser","2","310","Essential King Room - Accessible","Baby safety gates","Single-room air conditioning for guest accommodation","More",,,,,,,,
"5","Kimpton Vividora Hotel, an IHG Hotel","true","1 extra-large double bed","US$","Room","215 feet²","Inner courtyard view","Rooftop pool","Air conditioning","Ensuite bathroom","Flat-screen TV","Soundproofing","Coffee machine","Minibar","Free WiFi","Free toiletries","Shower","Bathrobe","Safety deposit box","Streaming service (like Netflix)","Toilet","Hardwood or parquet floors","Towels","Linen","Cleaning products","Hypoallergenic","Desk","Blu-ray player","TV","Slippers","Telephone","Ironing facilities","Satellite channels","Tea/Coffee maker","Iron","Radio","Heating","Hairdryer","Towels/sheets (extra fee)","Wake up service/Alarm clock","Electric kettle","Wake-up service","Alarm clock","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Clothes rack","Toilet paper","Entire unit wheelchair accessible","Hand sanitiser","2","364","Essential King Room - Accessible","Baby safety gates","Single-room air conditioning for guest accommodation","More",,,,,,,,
