Hotel Name,Room Type,Room Size
Ohla Barcelona,Deluxe Double Room (1-2 adults),291 feet²
Ohla Barcelona,Junior Suite,377 feet²
Ohla Barcelona,Deluxe Junior Suite,431 feet²
"Kimpton Vividora Hotel, an IHG Hotel",Essential Room,172 feet²
"Kimpton Vividora Hotel, an IHG Hotel",Essential King Room - Accessible,215 feet²
"Kimpton Vividora Hotel, an IHG Hotel",Premium King Room,205 feet²
"Kimpton Vividora Hotel, an IHG Hotel",Premium King Room with Balcony,226 feet²
"Kimpton Vividora Hotel, an IHG Hotel",King Suite,344 feet²
"Kimpton Vividora Hotel, an IHG Hotel",King Suite with City View,398 feet²
"Kimpton Vividora Hotel, an IHG Hotel",Gòtic King Suite,527 feet²
"Kimpton Vividora Hotel, an IHG Hotel",King Suite de Vivi,646 feet²
"Kimpton Vividora Hotel, an IHG Hotel",Family Room,452 feet²
"Kimpton Vividora Hotel, an IHG Hotel",Queen Room - City Single,172 feet²
ME Barcelona,Standard ME Room,323 feet²
ME Barcelona,Standard ME City View,323 feet²
ME Barcelona,Standard ME Room with Patio View,323 feet²
ME Barcelona,Extra ME Junior Suite City View,474 feet²
ME Barcelona,Studio ME + Suite Plaza Cataluña View,474 feet²
ME Barcelona,Studio ME+ Suite,517 feet²
ME Barcelona,Beyond ME Suite ME City View,893 feet²
ME Barcelona,Studio ME Suite Terrace with Jacuzzi and City View,452 feet²
ME Barcelona,Ultimate ME + Suite with City View,1378 feet²
ME Barcelona,Connected Standard ME Room,646 feet²
ME Barcelona,Connected Standard ME Room with Patio View,323 feet²
ME Barcelona,2 Bedroom Extra ME Junior Suite City View,753 feet²
ME Barcelona,Studio ME+ 2 Bedroom Suite Terrace with Jazuzzi,452 feet²
Almanac Barcelona,Almanac Room,355 feet²
Almanac Barcelona,Almanac Room with Balcony,377 feet²
Almanac Barcelona,Family Studio Room,377 feet²
Almanac Barcelona,Almanac Suite,592 feet²
Almanac Barcelona,Junior Suite,463 feet²
Almanac Barcelona,Terrace Suite,517 feet²
Le Meridien Barcelona,Deluxe Twin Room,269 feet²
Le Meridien Barcelona,Premium King Room,269 feet²
Le Meridien Barcelona,Premium Twin Room,269 feet²
Le Meridien Barcelona,Junior King Suite,366 feet²
Le Meridien Barcelona,Junior Twin Suite,366 feet²
Le Meridien Barcelona,Family Suite,463 feet²
Le Meridien Barcelona,Grand Terrace Suite,926 feet²
Le Meridien Barcelona,Corner King Suite,527 feet²
"Cotton House Hotel, Autograph Collection",Deluxe Double Room,215 feet²
