"stars","name","available","bedType","currency","features/0","features/1","features/2","features/3","features/4","features/5","features/6","features/7","features/8","features/9","features/10","features/11","features/12","features/13","features/14","features/15","features/16","features/17","features/18","features/19","features/20","features/21","features/22","features/23","features/24","features/25","features/26","features/27","features/28","features/29","features/30","features/31","features/32","features/33","features/34","features/35","persons","price","roomType","features/36","features/37","features/38","features/39"
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","2","497","Trafalgar King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","2","540","Trafalgar King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","2","546","Trafalgar King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","2","546","Trafalgar King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","2","589","Trafalgar King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","2","594","Trafalgar King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","1","521","Trafalgar King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","1","565","Trafalgar King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Ensuite bathroom","Flat-screen TV","Coffee machine","Minibar","Free toiletries","Bathrobe","Safety deposit box","Toilet","Bath or shower","Towels","Linen","Socket near the bed","Desk","TV","Slippers","Refrigerator","Telephone","Ironing facilities","Tea/Coffee maker","Iron","Interconnected room(s) available","Heating","Hairdryer","Wake up service/Alarm clock","Carpeted","Electric kettle","Cable channels","Wake-up service","Laptop safe","Wardrobe or closet","Upper floors accessible by elevator","Toilet paper","Single-room air conditioning for guest accommodation","Hand sanitiser","1","570","Trafalgar King Room",,,,
"5","The Trafalgar St. James, London Curio collection by Hilton","true","1 extra-large double bed","US$","Room","Air conditioning","Private bathroom","Free toiletries","Toilet","TV","Tea/Coffee maker","Wake up service/Alarm clock","Cable channels","More",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","508","King Room with View",,,,
